Wavelength_nm,CD_0,CD_100,CD_200,CD_300,CD_400,CD_500,CD_600,CD_700,CD_800,CD_900,CD_1000,CD_900,CD_800,CD_700,CD_600,CD_500,CD_400,CD_300,CD_200,CD_100,CD_0
302.647928085,1.0,0.8777858299168582,0.7705079632028274,0.676340971937542,0.5936825213589698,0.5211261047182162,0.4574371103214189,0.4015318135182561,0.3524589361671436,0.3093834597950891,0.2715724170187812,0.3093834597950891,0.3524589361671436,0.4015318135182561,0.4574371103214189,0.5211261047182162,0.5936825213589698,0.676340971937542,0.7705079632028274,0.8777858299168582,1.0
302.730543894,1.0,0.8876961051040774,0.7880043750169492,0.6995084145075185,0.6209508950458528,0.5512156909930942,0.4893120219668224,0.434360376080549,0.3855800140582456,0.34227787668548004,0.30383873799699435,0.34227787668548004,0.3855800140582456,0.434360376080549,0.4893120219668224,0.5512156909930942,0.6209508950458528,0.6995084145075185,0.7880043750169492,0.8876961051040774,1.0
302.813145865,1.0,0.8972944904497105,0.8051374025914058,0.7224453554002589,0.6482462370516354,0.5816677769611895,0.5219272915394064,0.4683224831136492,0.42022318385160506,0.377063947629281,0.3383374027549721,0.377063947629281,0.42022318385160506,0.4683224831136492,0.5219272915394064,0.5816677769611895,0.6482462370516354,0.7224453554002589,0.8051374025914058,0.8972944904497105,1.0
302.895733996,1.0,0.906250320574285,0.8212896435409943,0.7442940027433664,0.6745166785876936,0.6112809562027993,0.5539735625197424,0.5020387186231953,0.45497274969297397,0.41231920026182156,0.3736644074162086,0.41231920026182156,0.45497274969297397,0.5020387186231953,0.5539735625197424,0.6112809562027993,0.6745166785876936,0.7442940027433664,0.8212896435409943,0.906250320574285,1.0
302.978308286,1.0,0.9142855366670416,0.8359180425585403,0.764267776150298,0.6987589738749016,0.6388652234301256,0.584105233661722,0.5340389670284351,0.4882641035707054,0.44641280796839433,0.4081487737084244,0.44641280796839433,0.4882641035707054,0.5340389670284351,0.584105233661722,0.6388652234301256,0.6987589738749016,0.764267776150298,0.8359180425585403,0.9142855366670416,1.0
303.060868732,1.0,0.9212397994295156,0.8486827680529341,0.7818403430203711,0.7202624407899902,0.663534426489984,0.6112743219742115,0.5631302337719357,0.5187779836127543,0.4779189255718623,0.44027793513739194,0.4779189255718623,0.5187779836127543,0.5631302337719357,0.6112743219742115,0.663534426489984,0.7202624407899902,0.7818403430203711,0.8486827680529341,0.9212397994295156,1.0
303.143415333,1.0,0.9269518668948586,0.8592397635398638,0.7964739029235736,0.7382929712480409,0.6843620480137237,0.63437067803831,0.5880310843109688,0.5450765113942606,0.5052596898374465,0.46835141276153824,0.5052596898374465,0.5450765113942606,0.5880310843109688,0.63437067803831,0.6843620480137237,0.7382929712480409,0.7964739029235736,0.8592397635398638,0.9269518668948586,1.0
303.225948087,1.0,0.9312743403568212,0.8672718970070326,0.8076680637952333,0.752160543338177,0.7004678138396889,0.652327701274741,0.6074960497011159,0.5657454829547816,0.5268642514485654,0.49065515822535316,0.5268642514485654,0.5657454829547816,0.6074960497011159,0.652327701274741,0.7004678138396889,0.752160543338177,0.8076680637952333,0.8672718970070326,0.9312743403568212,1.0
303.308466992,1.0,0.9339943315162909,0.8723454113045629,0.814765669282709,0.7609865166241271,0.7107570928872623,0.6638430958417008,0.6200256885323743,0.5791004784837228,0.5408765642821688,0.5051756450895524,0.5408765642821688,0.5791004784837228,0.6200256885323743,0.6638430958417008,0.7107570928872623,0.7609865166241271,0.814765669282709,0.8723454113045629,0.9339943315162909,1.0
303.390972047,1.0,0.9350525039434525,0.8743231851309203,0.8175380835124818,0.7644410320574775,0.7147925011424614,0.6683685179932617,0.6249596563065738,0.5843700914931014,0.5464167172802888,0.5109283196894957,0.5464167172802888,0.5843700914931014,0.6249596563065738,0.6683685179932617,0.7147925011424614,0.7644410320574775,0.8175380835124818,0.8743231851309203,0.9350525039434525,1.0
303.47346325,1.0,0.934305741622899,0.8729272188295154,0.8155809125713251,0.7620019293734328,0.7119427777413251,0.6651722249506755,0.6214742289394948,0.580646940368834,0.5425017702423707,0.5068625187780338,0.5425017702423707,0.580646940368834,0.6214742289394948,0.6651722249506755,0.7119427777413251,0.7620019293734328,0.8155809125713251,0.8729272188295154,0.934305741622899,1.0
303.555940599,1.0,0.9317719570309875,0.8681989799093565,0.8089634626024481,0.7537694687156472,0.7023412530153863,0.6544218838257424,0.6097719594162175,0.5681684119678689,0.5294033931424896,0.4932832356872228,0.5294033931424896,0.5681684119678689,0.6097719594162175,0.6544218838257424,0.7023412530153863,0.7537694687156472,0.8089634626024481,0.8681989799093565,0.9317719570309875,1.0
303.638404093,1.0,0.9273385557781892,0.8599567970327778,0.7974710941920137,0.7395256927628743,0.6857906878875888,0.6359601460718075,0.5897503633907163,0.5468982502564091,0.5071598335503972,0.4703088675933322,0.5071598335503972,0.5468982502564091,0.5897503633907163,0.6359601460718075,0.6857906878875888,0.7395256927628743,0.7974710941920137,0.8599567970327778,0.9273385557781892,1.0
303.720853729,1.0,0.9209791902986472,0.8482026689631517,0.7811770072708349,0.7194477676362139,0.6625964224997696,0.610237516688618,0.5620160540097406,0.5176050903567316,0.47670351701120084,0.4390340191094931,0.47670351701120084,0.5176050903567316,0.5620160540097406,0.610237516688618,0.6625964224997696,0.7194477676362139,0.7811770072708349,0.8482026689631517,0.9209791902986472,1.0
303.803289506,1.0,0.9125884258593727,0.8328176350124878,0.760019734563972,0.6935852131877935,0.6329578379023859,0.5776299969266904,0.5271384496244828,0.48106044795275693,0.4390101969404112,0.4006356245620631,0.4390101969404112,0.48106044795275693,0.5271384496244828,0.5776299969266904,0.6329578379023859,0.6935852131877935,0.760019734563972,0.8328176350124878,0.9125884258593727,1.0
303.885711423,1.0,0.9023194490181876,0.8141803880764856,0.7346507991705886,0.6628897043283767,0.5981382727694101,0.5397117967219845,0.48699245104679717,0.43942276010456266,0.3964997027836002,0.35776939335157326,0.3964997027836002,0.43942276010456266,0.48699245104679717,0.5397117967219845,0.5981382727694101,0.6628897043283767,0.7346507991705886,0.8141803880764856,0.9023194490181876,1.0
303.968119477,1.0,0.8912141080820974,0.7942625864445684,0.7078580225611759,0.6308530562256155,0.5622251438349772,0.5010629801042181,0.4465543969065385,0.3979755785491996,0.35468145027518166,0.31609711236026083,0.35468145027518166,0.3979755785491996,0.4465543969065385,0.5010629801042181,0.5622251438349772,0.6308530562256155,0.7078580225611759,0.7942625864445684,0.8912141080820974,1.0
304.050513667,1.0,0.8808290707645867,0.7758598519040054,0.6833999123961549,0.6019585097965051,0.530222554822891,0.4670354402630722,0.41137839286105155,0.3623540475164292,0.3191719789616832,0.28113595764291366,0.3191719789616832,0.3623540475164292,0.41137839286105155,0.4670354402630722,0.530222554822891,0.6019585097965051,0.6833999123961549,0.7758598519040054,0.8808290707645867,1.0
